' 1	[[0, 0, 0], [1, 0, 0], [1, 0, 0]]	2	0.00	0.00	0.00	0.00
' 2	[[0, 0, 0], [1, 0, 0], [0, 1, 0]]	1	1.00	0.50	0.00	0.00
' 3	[[0, 0, 0], [1, 0, 1], [0, 0, 0]]	1	0.00	0.00	0.00	0.00
' 4	[[0, 1, 0], [1, 0, 0], [1, 0, 0]]	2	2.00	0.29	0.00	0.69
' 5	[[0, 0, 0], [1, 0, 0], [1, 1, 0]]	2	1.00	0.25	0.00	0.00
' 6	[[0, 1, 1], [1, 0, 0], [0, 0, 0]]	1	2.00	0.50	0.00	1.00
' 7	[[0, 0, 1], [1, 0, 0], [0, 1, 0]]	1	3.00	0.50	1.00	1.00
' 8	[[0, 1, 0], [1, 0, 0], [1, 1, 0]]	3	2.00	0.21	0.00	0.44
' 9	[[0, 1, 1], [1, 0, 0], [1, 0, 0]]	2	3.00	0.28	0.33	0.83
'10	[[0, 1, 0], [1, 0, 1], [1, 0, 0]]	2	3.00	0.36	0.33	0.71
'11	[[0, 0, 0], [1, 0, 1], [1, 1, 0]]	2	2.00	0.50	0.00	1.00
'12	[[0, 1, 1], [1, 0, 0], [1, 1, 0]]	4	3.00	0.26	0.25	0.78
'13	[[0, 1, 1], [1, 0, 1], [1, 1, 0]]	4	3.12	0.21	0.29	0.76

' 1	[[0, 0, 0], [1, 0, 0], [1, 0, 0]]	3	0.00	0.00	0.00	0.00
' 2	[[0, 0, 0], [1, 0, 0], [0, 1, 0]]	1	1.00	0.50	0.00	0.00
' 3	[[0, 0, 0], [1, 0, 1], [0, 0, 0]]	1	0.00	0.00	0.00	0.00
' 4	[[0, 1, 0], [1, 0, 0], [1, 0, 0]]	3	1.67	0.36	0.00	0.79
' 5	[[0, 0, 0], [1, 0, 0], [1, 1, 0]]	3	0.67	0.17	0.00	0.00
' 6	[[0, 1, 1], [1, 0, 0], [0, 0, 0]]	1	2.00	0.50	0.00	1.00
' 7	[[0, 0, 1], [1, 0, 0], [0, 1, 0]]	1	3.00	0.50	1.00	1.00
' 8	[[0, 1, 0], [1, 0, 0], [1, 1, 0]]	6	1.33	0.19	0.00	0.61
' 9	[[0, 1, 1], [1, 0, 0], [1, 0, 0]]	3	2.50	0.35	0.43	0.88
'10	[[0, 1, 0], [1, 0, 1], [1, 0, 0]]	3	2.67	0.41	0.38	0.81
'11	[[0, 0, 0], [1, 0, 1], [1, 1, 0]]	3	2.00	0.50	0.00	1.00
'12	[[0, 1, 1], [1, 0, 0], [1, 1, 0]]	9	3.00	0.32	0.65	1.10
'13	[[0, 1, 1], [1, 0, 1], [1, 1, 0]]	10	3.86	0.28	1.34	1.60

' 1	[[1, 0, 0], [1, 1, 0], [1, 0, 1]]	3	3.33	0.36	0.00	0.00
' 2	[[1, 0, 0], [1, 1, 0], [0, 1, 1]]	4	3.00	0.31	0.00	0.00
' 3	[[1, 0, 0], [1, 1, 1], [0, 0, 1]]	3	3.00	0.31	0.00	0.00
' 4	[[1, 1, 0], [1, 1, 0], [1, 0, 1]]	6	3.33	0.29	0.00	0.08
' 5	[[1, 0, 0], [1, 1, 0], [1, 1, 1]]	6	3.33	0.27	0.00	0.00
' 6	[[1, 1, 1], [1, 1, 0], [0, 0, 1]]	8	3.00	0.21	0.00	0.11
' 7	[[1, 0, 1], [1, 1, 0], [0, 1, 1]]	4	3.00	0.21	0.09	0.09
' 8	[[1, 1, 0], [1, 1, 0], [1, 1, 1]]	6	3.50	0.25	0.00	0.06
' 9	[[1, 1, 1], [1, 1, 0], [1, 0, 1]]	9	3.44	0.19	0.10	0.13
'10	[[1, 1, 0], [1, 1, 1], [1, 0, 1]]	12	3.42	0.19	0.09	0.11
'11	[[1, 0, 0], [1, 1, 1], [1, 1, 1]]	9	3.44	0.18	0.00	0.11
'12	[[1, 1, 1], [1, 1, 0], [1, 1, 1]]	18	3.61	0.17	0.09	0.12
'13	[[1, 1, 1], [1, 1, 1], [1, 1, 1]]	10	3.60	0.15	0.11	0.14

' 1	[[1, 0, 0], [1, 1, 0], [1, 0, 1]]	4	3.25	0.40	0.00	0.00
' 2	[[1, 0, 0], [1, 1, 0], [0, 1, 1]]	9	3.42	0.36	0.00	0.00
' 3	[[1, 0, 0], [1, 1, 1], [0, 0, 1]]	6	3.17	0.37	0.00	0.00
' 4	[[1, 1, 0], [1, 1, 0], [1, 0, 1]]	12	3.47	0.31	0.00	0.31
' 5	[[1, 0, 0], [1, 1, 0], [1, 1, 1]]	12	3.42	0.32	0.00	0.00
' 6	[[1, 1, 1], [1, 1, 0], [0, 0, 1]]	27	3.23	0.27	0.00	0.42
' 7	[[1, 0, 1], [1, 1, 0], [0, 1, 1]]	11	3.86	0.29	0.60	0.60
' 8	[[1, 1, 0], [1, 1, 0], [1, 1, 1]]	10	3.35	0.28	0.00	0.24
' 9	[[1, 1, 1], [1, 1, 0], [1, 0, 1]]	24	3.91	0.24	0.43	0.65
'10	[[1, 1, 0], [1, 1, 1], [1, 0, 1]]	36	3.95	0.25	0.38	0.52
'11	[[1, 0, 0], [1, 1, 1], [1, 1, 1]]	24	3.29	0.21	0.00	0.39
'12	[[1, 1, 1], [1, 1, 0], [1, 1, 1]]	48	3.78	0.21	0.26	0.54
'13	[[1, 1, 1], [1, 1, 1], [1, 1, 1]]	20	3.36	0.16	0.18	0.49
